"statefips","countyfips","countyns10","geoid10","name","namelsad10","boundingbox","corner_sw","corner_nw","corner_ne","corner_se","corner_wtf","extentn","extents","extente","extentw"
"13","159","00346144","13159","Jasper","Jasper County","POLYGON((-83.863362 33.131816,-83.863362 33.52622,-83.533736 33.52622,-83.533736 33.131816,-83.863362 33.131816))","33.131816,-83.863362","33.52622,-83.863362","33.52622,-83.533736","33.131816,-83.533736","33.131816,-83.863362","33.52622","33.131816","-83.533736","-83.863362"
"13","161","01687999","13161","Jeff Davis","Jeff Davis County","POLYGON((-82.836861 31.671281,-82.836861 31.971689,-82.430452 31.971689,-82.430452 31.671281,-82.836861 31.671281))","31.671281,-82.836861","31.971689,-82.836861","31.971689,-82.430452","31.671281,-82.430452","31.671281,-82.836861","31.971689","31.671281","-82.430452","-82.836861"
"13","163","00345714","13163","Jefferson","Jefferson County","POLYGON((-82.662135 32.761452,-82.662135 33.313299,-82.232554 33.313299,-82.232554 32.761452,-82.662135 32.761452))","32.761452,-82.662135","33.313299,-82.662135","33.313299,-82.232554","32.761452,-82.232554","32.761452,-82.662135","33.313299","32.761452","-82.232554","-82.662135"
"13","165","00342985","13165","Jenkins","Jenkins County","POLYGON((-82.147942 32.60691,-82.147942 32.953882,-81.767543 32.953882,-81.767543 32.60691,-82.147942 32.60691))","32.60691,-82.147942","32.953882,-82.147942","32.953882,-81.767543","32.60691,-81.767543","32.60691,-82.147942","32.953882","32.60691","-81.767543","-82.147942"
"13","167","00346664","13167","Johnson","Johnson County","POLYGON((-82.957066 32.509473,-82.957066 32.822356,-82.434149 32.822356,-82.434149 32.509473,-82.957066 32.509473))","32.509473,-82.957066","32.822356,-82.957066","32.822356,-82.434149","32.509473,-82.434149","32.509473,-82.957066","32.822356","32.509473","-82.434149","-82.957066"
"13","169","00345367","13169","Jones","Jones County","POLYGON((-83.816856 32.841291,-83.816856 33.185837,-83.357685 33.185837,-83.357685 32.841291,-83.816856 32.841291))","32.841291,-83.816856","33.185837,-83.816856","33.185837,-83.357685","32.841291,-83.357685","32.841291,-83.816856","33.185837","32.841291","-83.357685","-83.816856"
"13","171","00326713","13171","Lamar","Lamar County","POLYGON((-84.27014 32.931497,-84.27014 33.202824,-84.040914 33.202824,-84.040914 32.931497,-84.27014 32.931497))","32.931497,-84.27014","33.202824,-84.27014","33.202824,-84.040914","32.931497,-84.040914","32.931497,-84.27014","33.202824","32.931497","-84.040914","-84.27014"
"13","173","00348102","13173","Lanier","Lanier County","POLYGON((-83.197995 30.844709,-83.197995 31.184208,-82.969798 31.184208,-82.969798 30.844709,-83.197995 30.844709))","30.844709,-83.197995","31.184208,-83.197995","31.184208,-82.969798","30.844709,-82.969798","30.844709,-83.197995","31.184208","30.844709","-82.969798","-83.197995"
"13","175","00346568","13175","Laurens","Laurens County","POLYGON((-83.226536 32.147274,-83.226536 32.71576,-82.633126 32.71576,-82.633126 32.147274,-83.226536 32.147274))","32.147274,-83.226536","32.71576,-83.226536","32.71576,-82.633126","32.147274,-82.633126","32.147274,-83.226536","32.71576","32.147274","-82.633126","-83.226536"
"13","177","00343390","13177","Lee","Lee County","POLYGON((-84.33861 31.621951,-84.33861 31.91619,-83.922494 31.91619,-83.922494 31.621951,-84.33861 31.621951))","31.621951,-84.33861","31.91619,-84.33861","31.91619,-83.922494","31.621951,-83.922494","31.621951,-84.33861","31.91619","31.621951","-83.922494","-84.33861"
"13","179","00357095","13179","Liberty","Liberty County","POLYGON((-81.824405 31.520981,-81.824405 32.092551,-81.049789 32.092551,-81.049789 31.520981,-81.824405 31.520981))","31.520981,-81.824405","32.092551,-81.824405","32.092551,-81.049789","31.520981,-81.049789","31.520981,-81.824405","32.092551","31.520981","-81.049789","-81.824405"
"13","181","01688000","13181","Lincoln","Lincoln County","POLYGON((-82.645606 33.636979,-82.645606 33.984195,-82.218649 33.984195,-82.218649 33.636979,-82.645606 33.636979))","33.636979,-82.645606","33.984195,-82.645606","33.984195,-82.218649","33.636979,-82.218649","33.636979,-82.645606","33.984195","33.636979","-82.218649","-82.645606"
"13","183","00326719","13183","Long","Long County","POLYGON((-81.981621 31.538667,-81.981621 32.014882,-81.491798 32.014882,-81.491798 31.538667,-81.981621 31.538667))","31.538667,-81.981621","32.014882,-81.981621","32.014882,-81.491798","31.538667,-81.491798","31.538667,-81.981621","32.014882","31.538667","-81.491798","-81.981621"
"13","185","00326720","13185","Lowndes","Lowndes County","POLYGON((-83.484766 30.623967,-83.484766 31.031964,-83.019419 31.031964,-83.019419 30.623967,-83.484766 30.623967))","30.623967,-83.484766","31.031964,-83.484766","31.031964,-83.019419","30.623967,-83.019419","30.623967,-83.484766","31.031964","30.623967","-83.019419","-83.484766"
"13","187","00357196","13187","Lumpkin","Lumpkin County","POLYGON((-84.19104 34.418389,-84.19104 34.740859,-83.832831 34.740859,-83.832831 34.418389,-84.19104 34.418389))","34.418389,-84.19104","34.740859,-84.19104","34.740859,-83.832831","34.418389,-83.832831","34.418389,-84.19104","34.740859","34.418389","-83.832831","-84.19104"
"13","189","00348794","13189","McDuffie","McDuffie County","POLYGON((-82.649705 33.310879,-82.649705 33.659994,-82.294179 33.659994,-82.294179 33.310879,-82.649705 33.310879))","33.310879,-82.649705","33.659994,-82.649705","33.659994,-82.294179","33.310879,-82.294179","33.310879,-82.649705","33.659994","33.310879","-82.294179","-82.649705"
"13","191","00356886","13191","McIntosh","McIntosh County","POLYGON((-81.668357 31.290953,-81.668357 31.699575,-81.095383 31.699575,-81.095383 31.290953,-81.668357 31.290953))","31.290953,-81.668357","31.699575,-81.668357","31.699575,-81.095383","31.290953,-81.095383","31.290953,-81.668357","31.699575","31.290953","-81.095383","-81.668357"
"13","193","00346957","13193","Macon","Macon County","POLYGON((-84.255912 32.170774,-84.255912 32.530602,-83.836673 32.530602,-83.836673 32.170774,-84.255912 32.170774))","32.170774,-84.255912","32.530602,-84.255912","32.530602,-83.836673","32.170774,-83.836673","32.170774,-84.255912","32.530602","32.170774","-83.836673","-84.255912"
"13","195","01688004","13195","Madison","Madison County","POLYGON((-83.402428 33.998935,-83.402428 34.27353,-82.976294 34.27353,-82.976294 33.998935,-83.402428 33.998935))","33.998935,-83.402428","34.27353,-83.402428","34.27353,-82.976294","33.998935,-82.976294","33.998935,-83.402428","34.27353","33.998935","-82.976294","-83.402428"
"13","197","00344107","13197","Marion","Marion County","POLYGON((-84.658983 32.134058,-84.658983 32.562083,-84.389927 32.562083,-84.389927 32.134058,-84.658983 32.134058))","32.134058,-84.658983","32.562083,-84.658983","32.562083,-84.389927","32.134058,-84.389927","32.134058,-84.658983","32.562083","32.134058","-84.389927","-84.658983"
"13","199","00346892","13199","Meriwether","Meriwether County","POLYGON((-84.864633 32.84464,-84.864633 33.231493,-84.490539 33.231493,-84.490539 32.84464,-84.864633 32.84464))","32.84464,-84.864633","33.231493,-84.864633","33.231493,-84.490539","32.84464,-84.490539","32.84464,-84.864633","33.231493","32.84464","-84.490539","-84.864633"
"13","201","00344088","13201","Miller","Miller County","POLYGON((-84.922423 31.06801,-84.922423 31.259469,-84.537101 31.259469,-84.537101 31.06801,-84.922423 31.06801))","31.06801,-84.922423","31.259469,-84.922423","31.259469,-84.537101","31.06801,-84.537101","31.06801,-84.922423","31.259469","31.06801","-84.537101","-84.922423"
"13","205","00343645","13205","Mitchell","Mitchell County","POLYGON((-84.508324 31.077148,-84.508324 31.443753,-83.997773 31.443753,-83.997773 31.077148,-84.508324 31.077148))","31.077148,-84.508324","31.443753,-84.508324","31.443753,-83.997773","31.077148,-83.997773","31.077148,-84.508324","31.443753","31.077148","-83.997773","-84.508324"
"13","207","00343073","13207","Monroe","Monroe County","POLYGON((-84.124275 32.848351,-84.124275 33.202634,-83.705917 33.202634,-83.705917 32.848351,-84.124275 32.848351))","32.848351,-84.124275","33.202634,-84.124275","33.202634,-83.705917","32.848351,-83.705917","32.848351,-84.124275","33.202634","32.848351","-83.705917","-84.124275"
"13","209","00352276","13209","Montgomery","Montgomery County","POLYGON((-82.656244 31.948572,-82.656244 32.353738,-82.40913 32.353738,-82.40913 31.948572,-82.656244 31.948572))","31.948572,-82.656244","32.353738,-82.656244","32.353738,-82.40913","31.948572,-82.40913","31.948572,-82.656244","32.353738","31.948572","-82.40913","-82.656244"
"13","211","00346008","13211","Morgan","Morgan County","POLYGON((-83.687386 33.434472,-83.687386 33.81776,-83.269196 33.81776,-83.269196 33.434472,-83.687386 33.434472))","33.434472,-83.687386","33.81776,-83.687386","33.81776,-83.269196","33.434472,-83.269196","33.434472,-83.687386","33.81776","33.434472","-83.269196","-83.687386"
"13","213","01688005","13213","Murray","Murray County","POLYGON((-84.944512 34.583187,-84.944512 34.988329,-84.582195 34.988329,-84.582195 34.583187,-84.944512 34.583187))","34.583187,-84.944512","34.988329,-84.944512","34.988329,-84.582195","34.583187,-84.582195","34.583187,-84.944512","34.988329","34.583187","-84.582195","-84.944512"
"13","215","00357428","13215","Muscogee","Muscogee County","POLYGON((-85.080784 32.373874,-85.080784 32.608137,-84.667463 32.608137,-84.667463 32.373874,-85.080784 32.373874))","32.373874,-85.080784","32.608137,-85.080784","32.608137,-84.667463","32.373874,-84.667463","32.373874,-85.080784","32.608137","32.373874","-84.667463","-85.080784"
"13","217","01673547","13217","Newton","Newton County","POLYGON((-84.055221 33.367239,-84.055221 33.744203,-83.674644 33.744203,-83.674644 33.367239,-84.055221 33.367239))","33.367239,-84.055221","33.744203,-84.055221","33.744203,-83.674644","33.367239,-83.674644","33.367239,-84.055221","33.744203","33.367239","-83.674644","-84.055221"
"13","219","00356774","13219","Oconee","Oconee County","POLYGON((-83.647031 33.698307,-83.647031 33.965912,-83.275933 33.965912,-83.275933 33.698307,-83.647031 33.698307))","33.698307,-83.647031","33.965912,-83.647031","33.965912,-83.275933","33.698307,-83.275933","33.698307,-83.647031","33.965912","33.698307","-83.275933","-83.647031"
"13","221","00351262","13221","Oglethorpe","Oglethorpe County","POLYGON((-83.306619 33.689869,-83.306619 34.047638,-82.779506 34.047638,-82.779506 33.689869,-83.306619 33.689869))","33.689869,-83.306619","34.047638,-83.306619","34.047638,-82.779506","33.689869,-82.779506","33.689869,-83.306619","34.047638","33.689869","-82.779506","-83.306619"
"13","223","00349912","13223","Paulding","Paulding County","POLYGON((-85.05031 33.774758,-85.05031 34.082609,-84.723236 34.082609,-84.723236 33.774758,-85.05031 33.774758))","33.774758,-85.05031","34.082609,-85.05031","34.082609,-84.723236","33.774758,-84.723236","33.774758,-85.05031","34.082609","33.774758","-84.723236","-85.05031"
"13","225","00343153","13225","Peach","Peach County","POLYGON((-84.018168 32.439123,-84.018168 32.692815,-83.70101 32.692815,-83.70101 32.439123,-84.018168 32.439123))","32.439123,-84.018168","32.692815,-84.018168","32.692815,-83.70101","32.439123,-83.70101","32.439123,-84.018168","32.692815","32.439123","-83.70101","-84.018168"
"13","227","01673011","13227","Pickens","Pickens County","POLYGON((-84.654366 34.373266,-84.654366 34.563681,-84.256867 34.563681,-84.256867 34.373266,-84.654366 34.373266))","34.373266,-84.654366","34.563681,-84.654366","34.563681,-84.256867","34.373266,-84.256867","34.373266,-84.654366","34.563681","34.373266","-84.256867","-84.654366"
"13","229","00349086","13229","Pierce","Pierce County","POLYGON((-82.417412 31.202082,-82.417412 31.530699,-81.992114 31.530699,-81.992114 31.202082,-82.417412 31.202082))","31.202082,-82.417412","31.530699,-82.417412","31.530699,-81.992114","31.202082,-81.992114","31.202082,-82.417412","31.530699","31.202082","-81.992114","-82.417412"
"13","231","00346482","13231","Pike","Pike County","POLYGON((-84.538004 32.968534,-84.538004 33.208889,-84.24766 33.208889,-84.24766 32.968534,-84.538004 32.968534))","32.968534,-84.538004","33.208889,-84.538004","33.208889,-84.24766","32.968534,-84.24766","32.968534,-84.538004","33.208889","32.968534","-84.24766","-84.538004"
"13","233","00343585","13233","Polk","Polk County","POLYGON((-85.421852 33.899212,-85.421852 34.100668,-84.922742 34.100668,-84.922742 33.899212,-85.421852 33.899212))","33.899212,-85.421852","34.100668,-85.421852","34.100668,-84.922742","33.899212,-84.922742","33.899212,-85.421852","34.100668","33.899212","-84.922742","-85.421852"
"13","235","00347593","13235","Pulaski","Pulaski County","POLYGON((-83.615846 32.102843,-83.615846 32.402358,-83.291106 32.402358,-83.291106 32.102843,-83.615846 32.102843))","32.102843,-83.615846","32.402358,-83.615846","32.402358,-83.291106","32.102843,-83.291106","32.102843,-83.615846","32.402358","32.102843","-83.291106","-83.615846"
"13","237","00347246","13237","Putnam","Putnam County","POLYGON((-83.545876 33.167491,-83.545876 33.483447,-83.143428 33.483447,-83.143428 33.167491,-83.545876 33.167491))","33.167491,-83.545876","33.483447,-83.545876","33.483447,-83.143428","33.167491,-83.143428","33.167491,-83.545876","33.483447","33.167491","-83.143428","-83.545876"
"13","239","00350547","13239","Quitman","Quitman County","POLYGON((-85.141931 31.770963,-85.141931 31.991857,-84.907006 31.991857,-84.907006 31.770963,-85.141931 31.770963))","31.770963,-85.141931","31.991857,-85.141931","31.991857,-84.907006","31.770963,-84.907006","31.770963,-85.141931","31.991857","31.770963","-84.907006","-85.141931"
"13","241","00351489","13241","Rabun","Rabun County","POLYGON((-83.661672 34.716007,-83.661672 35.000659,-83.098244 35.000659,-83.098244 34.716007,-83.661672 34.716007))","34.716007,-83.661672","35.000659,-83.661672","35.000659,-83.098244","34.716007,-83.098244","34.716007,-83.661672","35.000659","34.716007","-83.098244","-83.661672"
"13","243","00352242","13243","Randolph","Randolph County","POLYGON((-84.959324 31.618643,-84.959324 31.93184,-84.535096 31.93184,-84.535096 31.618643,-84.959324 31.618643))","31.618643,-84.959324","31.93184,-84.959324","31.93184,-84.535096","31.618643,-84.535096","31.618643,-84.959324","31.93184","31.618643","-84.535096","-84.959324"
"13","245","00358024","13245","Richmond","Richmond County","POLYGON((-82.353498 33.227165,-82.353498 33.544934,-81.828336 33.544934,-81.828336 33.227165,-82.353498 33.227165))","33.227165,-82.353498","33.544934,-82.353498","33.544934,-81.828336","33.227165,-81.828336","33.227165,-82.353498","33.544934","33.227165","-81.828336","-82.353498"
"13","247","00357592","13247","Rockdale","Rockdale County","POLYGON((-84.184143 33.525776,-84.184143 33.786054,-83.913229 33.786054,-83.913229 33.525776,-84.184143 33.525776))","33.525776,-84.184143","33.786054,-84.184143","33.786054,-83.913229","33.525776,-83.913229","33.525776,-84.184143","33.786054","33.525776","-83.913229","-84.184143"
"13","249","00344129","13249","Schley","Schley County","POLYGON((-84.430215 32.158493,-84.430215 32.428095,-84.181657 32.428095,-84.181657 32.158493,-84.430215 32.158493))","32.158493,-84.430215","32.428095,-84.430215","32.428095,-84.181657","32.158493,-84.181657","32.158493,-84.430215","32.428095","32.158493","-84.181657","-84.430215"
"13","251","00350204","13251","Screven","Screven County","POLYGON((-81.868683 32.489286,-81.868683 33.045654,-81.389205 33.045654,-81.389205 32.489286,-81.868683 32.489286))","32.489286,-81.868683","33.045654,-81.868683","33.045654,-81.389205","32.489286,-81.389205","32.489286,-81.868683","33.045654","32.489286","-81.389205","-81.868683"
"13","253","00351263","13253","Seminole","Seminole County","POLYGON((-85.028573 30.711494,-85.028573 31.075564,-84.730855 31.075564,-84.730855 30.711494,-85.028573 30.711494))","30.711494,-85.028573","31.075564,-85.028573","31.075564,-84.730855","30.711494,-84.730855","30.711494,-85.028573","31.075564","30.711494","-84.730855","-85.028573"
"13","255","00353055","13255","Spalding","Spalding County","POLYGON((-84.509104 33.17862,-84.509104 33.352621,-84.088991 33.352621,-84.088991 33.17862,-84.509104 33.17862))","33.17862,-84.509104","33.352621,-84.509104","33.352621,-84.088991","33.17862,-84.088991","33.17862,-84.509104","33.352621","33.17862","-84.088991","-84.509104"
"13","257","00350028","13257","Stephens","Stephens County","POLYGON((-83.45977 34.460883,-83.45977 34.687187,-83.103451 34.687187,-83.103451 34.460883,-83.45977 34.460883))","34.460883,-83.45977","34.687187,-83.45977","34.687187,-83.103451","34.460883,-83.103451","34.460883,-83.45977","34.687187","34.460883","-83.103451","-83.45977"
"13","259","00347360","13259","Stewart","Stewart County","POLYGON((-85.06833 31.920308,-85.06833 32.232953,-84.63112 32.232953,-84.63112 31.920308,-85.06833 31.920308))","31.920308,-85.06833","32.232953,-85.06833","32.232953,-84.63112","31.920308,-84.63112","31.920308,-85.06833","32.232953","31.920308","-84.63112","-85.06833"
"13","261","00343504","13261","Sumter","Sumter County","POLYGON((-84.443807 31.872755,-84.443807 32.229703,-83.919119 32.229703,-83.919119 31.872755,-84.443807 31.872755))","31.872755,-84.443807","32.229703,-84.443807","32.229703,-83.919119","31.872755,-83.919119","31.872755,-84.443807","32.229703","31.872755","-83.919119","-84.443807"
"13","263","00326757","13263","Talbot","Talbot County","POLYGON((-84.703196 32.518639,-84.703196 32.883595,-84.286246 32.883595,-84.286246 32.518639,-84.703196 32.518639))","32.518639,-84.703196","32.883595,-84.703196","32.883595,-84.286246","32.518639,-84.286246","32.518639,-84.703196","32.883595","32.518639","-84.286246","-84.703196"
"13","265","00347654","13265","Taliaferro","Taliaferro County","POLYGON((-83.014038 33.438099,-83.014038 33.733333,-82.679975 33.733333,-82.679975 33.438099,-83.014038 33.438099))","33.438099,-83.014038","33.733333,-83.014038","33.733333,-82.679975","33.438099,-82.679975","33.438099,-83.014038","33.733333","33.438099","-82.679975","-83.014038"
"13","267","00347445","13267","Tattnall","Tattnall County","POLYGON((-82.235034 31.782607,-82.235034 32.318859,-81.761735 32.318859,-81.761735 31.782607,-82.235034 31.782607))","31.782607,-82.235034","32.318859,-82.235034","32.318859,-81.761735","31.782607,-81.761735","31.782607,-82.235034","32.318859","31.782607","-81.761735","-82.235034"
"13","269","00344156","13269","Taylor","Taylor County","POLYGON((-84.453232 32.372053,-84.453232 32.747626,-84.001971 32.747626,-84.001971 32.372053,-84.453232 32.372053))","32.372053,-84.453232","32.747626,-84.453232","32.747626,-84.001971","32.372053,-84.001971","32.372053,-84.453232","32.747626","32.372053","-84.001971","-84.453232"
"13","271","00356958","13271","Telfair","Telfair County","POLYGON((-83.207583 31.774629,-83.207583 32.153274,-82.645581 32.153274,-82.645581 31.774629,-83.207583 31.774629))","31.774629,-83.207583","32.153274,-83.207583","32.153274,-82.645581","31.774629,-82.645581","31.774629,-83.207583","32.153274","31.774629","-82.645581","-83.207583"
"13","273","00352238","13273","Terrell","Terrell County","POLYGON((-84.603086 31.620988,-84.603086 31.967456,-84.258284 31.967456,-84.258284 31.620988,-84.603086 31.620988))","31.620988,-84.603086","31.967456,-84.603086","31.967456,-84.258284","31.620988,-84.258284","31.620988,-84.603086","31.967456","31.620988","-84.258284","-84.603086"
"13","275","00343835","13275","Thomas","Thomas County","POLYGON((-84.119245 30.658396,-84.119245 31.077971,-83.736158 31.077971,-83.736158 30.658396,-84.119245 30.658396))","30.658396,-84.119245","31.077971,-84.119245","31.077971,-83.736158","30.658396,-83.736158","30.658396,-84.119245","31.077971","30.658396","-83.736158","-84.119245"
"13","277","00344090","13277","Tift","Tift County","POLYGON((-83.66667 31.326263,-83.66667 31.597921,-83.338728 31.597921,-83.338728 31.326263,-83.66667 31.326263))","31.326263,-83.66667","31.597921,-83.66667","31.597921,-83.338728","31.326263,-83.338728","31.326263,-83.66667","31.597921","31.326263","-83.338728","-83.66667"
"13","279","00345220","13279","Toombs","Toombs County","POLYGON((-82.483131 31.911798,-82.483131 32.35383,-82.181912 32.35383,-82.181912 31.911798,-82.483131 31.911798))","31.911798,-82.483131","32.35383,-82.483131","32.35383,-82.181912","31.911798,-82.181912","31.911798,-82.483131","32.35383","31.911798","-82.181912","-82.483131"
"13","281","00351252","13281","Towns","Towns County","POLYGON((-83.946068 34.79052,-83.946068 34.992492,-83.546883 34.992492,-83.546883 34.79052,-83.946068 34.79052))","34.79052,-83.946068","34.992492,-83.946068","34.992492,-83.546883","34.79052,-83.546883","34.79052,-83.946068","34.992492","34.79052","-83.546883","-83.946068"
"13","283","00347505","13283","Treutlen","Treutlen County","POLYGON((-82.748742 32.293595,-82.748742 32.512507,-82.38194 32.512507,-82.38194 32.293595,-82.748742 32.293595))","32.293595,-82.748742","32.512507,-82.748742","32.512507,-82.38194","32.293595,-82.38194","32.293595,-82.748742","32.512507","32.293595","-82.38194","-82.748742"
"13","285","01673298","13285","Troup","Troup County","POLYGON((-85.236518 32.866647,-85.236518 33.224693,-84.86147 33.224693,-84.86147 32.866647,-85.236518 32.866647))","32.866647,-85.236518","33.224693,-85.236518","33.224693,-84.86147","32.866647,-84.86147","32.866647,-85.236518","33.224693","32.866647","-84.86147","-85.236518"
"13","287","00343238","13287","Turner","Turner County","POLYGON((-83.802223 31.565492,-83.802223 31.854095,-83.452179 31.854095,-83.452179 31.565492,-83.802223 31.565492))","31.565492,-83.802223","31.854095,-83.802223","31.854095,-83.452179","31.565492,-83.452179","31.565492,-83.802223","31.854095","31.565492","-83.452179","-83.802223"
"13","289","00345456","13289","Twiggs","Twiggs County","POLYGON((-83.611569 32.452198,-83.611569 32.89822,-83.226536 32.89822,-83.226536 32.452198,-83.611569 32.452198))","32.452198,-83.611569","32.89822,-83.611569","32.89822,-83.226536","32.452198,-83.226536","32.452198,-83.611569","32.89822","32.452198","-83.226536","-83.611569"
"13","291","00353193","13291","Union","Union County","POLYGON((-84.17916 34.640552,-84.17916 34.987545,-83.780401 34.987545,-83.780401 34.640552,-84.17916 34.640552))","34.640552,-84.17916","34.987545,-84.17916","34.987545,-83.780401","34.640552,-83.780401","34.640552,-84.17916","34.987545","34.640552","-83.780401","-84.17916"
"13","293","00346759","13293","Upson","Upson County","POLYGON((-84.534397 32.690018,-84.534397 33.00415,-84.122246 33.00415,-84.122246 32.690018,-84.534397 32.690018))","32.690018,-84.534397","33.00415,-84.534397","33.00415,-84.122246","32.690018,-84.122246","32.690018,-84.534397","33.00415","32.690018","-84.122246","-84.534397"
"13","295","00354216","13295","Walker","Walker County","POLYGON((-85.534089 34.581799,-85.534089 34.985175,-85.050446 34.985175,-85.050446 34.581799,-85.534089 34.581799))","34.581799,-85.534089","34.985175,-85.534089","34.985175,-85.050446","34.581799,-85.050446","34.581799,-85.534089","34.985175","34.581799","-85.050446","-85.534089"
"13","297","00351264","13297","Walton","Walton County","POLYGON((-83.982201 33.596919,-83.982201 33.929844,-83.505928 33.929844,-83.505928 33.596919,-83.982201 33.596919))","33.596919,-83.982201","33.929844,-83.982201","33.929844,-83.505928","33.596919,-83.505928","33.596919,-83.982201","33.929844","33.596919","-83.505928","-83.982201"
"13","299","00357722","13299","Ware","Ware County","POLYGON((-82.70105 30.568556,-82.70105 31.469351,-82.131698 31.469351,-82.131698 30.568556,-82.70105 30.568556))","30.568556,-82.70105","31.469351,-82.70105","31.469351,-82.131698","30.568556,-82.131698","30.568556,-82.70105","31.469351","30.568556","-82.131698","-82.70105"
"13","301","00347777","13301","Warren","Warren County","POLYGON((-82.866605 33.25344,-82.866605 33.611437,-82.383829 33.611437,-82.383829 33.25344,-82.866605 33.25344))","33.25344,-82.866605","33.611437,-82.866605","33.611437,-82.383829","33.25344,-82.383829","33.25344,-82.866605","33.611437","33.25344","-82.383829","-82.866605"
"13","303","00348428","13303","Washington","Washington County","POLYGON((-83.073648 32.756261,-83.073648 33.238428,-82.510851 33.238428,-82.510851 32.756261,-83.073648 32.756261))","32.756261,-83.073648","33.238428,-83.073648","33.238428,-82.510851","32.756261,-82.510851","32.756261,-83.073648","33.238428","32.756261","-82.510851","-83.073648"
"13","305","00350608","13305","Wayne","Wayne County","POLYGON((-82.147948 31.327101,-82.147948 31.829308,-81.61201 31.829308,-81.61201 31.327101,-82.147948 31.327101))","31.327101,-82.147948","31.829308,-82.147948","31.829308,-81.61201","31.327101,-81.61201","31.327101,-82.147948","31.829308","31.327101","-81.61201","-82.147948"
"13","307","00352287","13307","Webster","Webster County","POLYGON((-84.65582 31.919167,-84.65582 32.233103,-84.431214 32.233103,-84.431214 31.919167,-84.65582 31.919167))","31.919167,-84.65582","32.233103,-84.65582","32.233103,-84.431214","31.919167,-84.431214","31.919167,-84.65582","32.233103","31.919167","-84.431214","-84.65582"
"13","309","00351278","13309","Wheeler","Wheeler County","POLYGON((-82.940242 31.918883,-82.940242 32.310324,-82.539184 32.310324,-82.539184 31.918883,-82.940242 31.918883))","31.918883,-82.940242","32.310324,-82.940242","32.310324,-82.539184","31.918883,-82.539184","31.918883,-82.940242","32.310324","31.918883","-82.539184","-82.940242"
"13","311","00326781","13311","White","White County","POLYGON((-83.877418 34.503598,-83.877418 34.801374,-83.615517 34.801374,-83.615517 34.503598,-83.877418 34.503598))","34.503598,-83.877418","34.801374,-83.877418","34.801374,-83.615517","34.503598,-83.615517","34.503598,-83.877418","34.801374","34.503598","-83.615517","-83.877418"
"13","313","00353513","13313","Whitfield","Whitfield County","POLYGON((-85.168851 34.615719,-85.168851 34.988243,-84.810477 34.988243,-84.810477 34.615719,-85.168851 34.615719))","34.615719,-85.168851","34.988243,-85.168851","34.988243,-84.810477","34.615719,-84.810477","34.615719,-85.168851","34.988243","34.615719","-84.810477","-85.168851"
"13","315","00345499","13315","Wilcox","Wilcox County","POLYGON((-83.612256 31.844626,-83.612256 32.13326,-83.176693 32.13326,-83.176693 31.844626,-83.612256 31.844626))","31.844626,-83.612256","32.13326,-83.612256","32.13326,-83.176693","31.844626,-83.176693","31.844626,-83.612256","32.13326","31.844626","-83.176693","-83.612256"
"13","317","00351265","13317","Wilkes","Wilkes County","POLYGON((-82.987286 33.596071,-82.987286 33.991402,-82.479518 33.991402,-82.479518 33.596071,-82.987286 33.596071))","33.596071,-82.987286","33.991402,-82.987286","33.991402,-82.479518","33.596071,-82.479518","33.596071,-82.987286","33.991402","33.596071","-82.479518","-82.987286"
"13","319","00346824","13319","Wilkinson","Wilkinson County","POLYGON((-83.40699 32.584201,-83.40699 33.008791,-82.945098 33.008791,-82.945098 32.584201,-83.40699 32.584201))","32.584201,-83.40699","33.008791,-83.40699","33.008791,-82.945098","32.584201,-82.945098","32.584201,-83.40699","33.008791","32.584201","-82.945098","-83.40699"
"13","321","00343365","13321","Worth","Worth County","POLYGON((-84.03288 31.318365,-84.03288 31.849588,-83.649384 31.849588,-83.649384 31.318365,-84.03288 31.318365))","31.318365,-84.03288","31.849588,-84.03288","31.849588,-83.649384","31.318365,-83.649384","31.318365,-84.03288","31.849588","31.318365","-83.649384","-84.03288"
"15","001","00365280","15001","Hawaii","Hawaii County","POLYGON((-156.120001 18.86546,-156.120001 20.321453,-154.755792 20.321453,-154.755792 18.86546,-156.120001 18.86546))","18.86546,-156.120001","20.321453,-156.120001","20.321453,-154.755792","18.86546,-154.755792","18.86546,-156.120001","20.321453","18.86546","-154.755792","-156.120001"
"15","003","00365281","15003","Honolulu","Honolulu County","POLYGON((-178.443593 21.199238,-178.443593 28.517269,-157.597288 28.517269,-157.597288 21.199238,-178.443593 21.199238))","21.199238,-178.443593","28.517269,-178.443593","28.517269,-157.597288","21.199238,-157.597288","21.199238,-178.443593","28.517269","21.199238","-157.597288","-178.443593"
"15","005","01702380","15005","Kalawao","Kalawao County","POLYGON((-157.015058 21.129479,-157.015058 21.274619,-156.871195 21.274619,-156.871195 21.129479,-157.015058 21.129479))","21.129479,-157.015058","21.274619,-157.015058","21.274619,-156.871195","21.129479,-156.871195","21.129479,-157.015058","21.274619","21.129479","-156.871195","-157.015058"
"15","007","00365282","15007","Kauai","Kauai County","POLYGON((-160.600875 21.600384,-160.600875 22.290473,-159.241827 22.290473,-159.241827 21.600384,-160.600875 21.600384))","21.600384,-160.600875","22.290473,-160.600875","22.290473,-159.241827","21.600384,-159.241827","21.600384,-160.600875","22.290473","21.600384","-159.241827","-160.600875"
